review_time,positive_review,negative_review,problems_solved,rating
"Dec 10, 2021","While working as a business analyst, I was also working as a recruiter where I used Indeed to hire people in technology roles for my organization. This portal has a large number of users, so it is easy to find candidates almost in all the locations. I had the subscription so I was able to email or call the candidates who applied on my job posting or recently updated their resumes. I also liked its clean interface and the number of filters we can use for searching.Review collected by and hosted on G2.com.","As a paid user of indeed I liked everything in it, what I didn't like was the limit on the number of active job postings was very less and the cost of subscription is very high.",Used it for hiring Business Analysts and Data Analysts for my organization. I have used other portals too but I really admire the interface and filters on Indeed. Indeed has a large database for almost every kind of profession all over the world.Review collected by and hosted on G2.com.,4
"Dec 20, 2021","I've used indeed both for its hiring platform and helped others, including my sons find jobs by assisting them to get set up on indeed. Indeed has a friendly user interface and can be navigated easily.Review collected by and hosted on G2.com.","Due to the number of candidates in the database, I find that the quality of the applicants are not always the greatest, and it can be harder to find someone suitable.Review collected by and hosted on G2.com.","I don't use indeed as much as I used to, but I started with them in their early years while I was a recruiter, and it was always my first pick for posting new positions and searching for candidates.Review collected by and hosted on G2.com.",4.5
"Mar 27, 2022",Indeed app is very useful and user friendly. Helps to connect people to find suitable jobs in the market place. One of the easy and convenient apps that can be rely in terms of career perspectiveReview collected by and hosted on G2.com.,"There is nothing that I dislike as of now. Infact it helps to reach people faster, get them hired for the kind of job they looking for. Secured app and smooth functioning.Review collected by and hosted on G2.com.","There are many benefits like user friendly, convenience, help in getting job faster, career growth, fast paced, secure, digitalization, reliable for long term perspective.Review collected by and hosted on G2.com.",5
"Apr 15, 2022","It is super user-friendly, it does have lots of locations for finding jobs in Canada, the USA and Mexico. The search option is convenient for candidates and job opportunities.Review collected by and hosted on G2.com.","That the sponsor jobs sometimes take the first two pages of the search, I get it. However, it can be not very pleasant instead to allow every other company to place their job offer.Review collected by and hosted on G2.com.",Finding the right staff for my company will give me a fair amount of information on each candidate to be considered.Review collected by and hosted on G2.com.,5
"Nov 25, 2021",•	We can source the candidates as per the job description based on their skill and other criteria.,•	Indeed helps to post multiple jobs at once.,•	It was very easy to post a job and see all the candidates in one place.Review collected by and hosted on G2.com.,5
"Nov 12, 2021","Indeed is an excellent platform to find suitable candidates for the job - you can find genuine profiles from candidates and speed up the hiring process. Compared to its competitors like Naukri, Monster - Indeed has a good User Interface and better filters to help you get the desired results.Review collected by and hosted on G2.com.",Indeed is not helpful when I am looking to hire locally -  it is useful when hiring candidates overseas. The adaption of the platform for local candidates is not yet successful.Review collected by and hosted on G2.com.,"The platform helps me with the end-to-end recruitment process. I can schedule interviews and pre-employment tests with candidates directly. It helps me save a lot of time, and I can function better.Review collected by and hosted on G2.com.",3
"Nov 12, 2021",About the Indeed this job board is most valuable for the recruitment line and a perfect data base of lots of candidates. The best thing is we can post multiple jobs at the sam time. It's very easy to access and easy to use whether you are going to post a job or search for any candidate. Being a recruiter I would say this is the best way to find the candidates just put a correct template search the candidates and send them emails.Review collected by and hosted on G2.com.,The rate is too high that we have to pay otherwise I dislike about it the only thing you have to wait for the candidates responses until they respond to my mails requestReview collected by and hosted on G2.com.,With the help of this I'm filling all the positions which are needed because being a recruiter you don't like any other job boards. The benefits that I have realized  that indeed help to find the perfect candidates for those positions we're seekingReview collected by and hosted on G2.com.,5
"Nov 30, 2021","It has unique and fantastic user interface. It provides me with with job postings for the candidate selection. Also, it gives me immense features to source candidates throughout the database for IT and non IT profiles both. It has almost updated resumes with good candidature.Review collected by and hosted on G2.com.",It has a subscription based service and it provides pay per post model which charges on the clicks from candidates. It is too costly and is not affordable by everyone.Review collected by and hosted on G2.com.,"I am using it for hiring for my organization and client companies. We provide services in human resources. So, I source them using Indeed. It has unique filters and features to sort and arrange according to the job description and the requirements. It has some features to invite and chat with candidates using the mail feature of indeed. Overall it is a mind-blowing tool.Review collected by and hosted on G2.com.",4
"Nov 18, 2021","You can set up the type of jobs you are looking for and the location.  For me, I was only looking for remote positions.  Each day I was greeted with opportunities in my email inbox.  It made looking for new clients very easy!Review collected by and hosted on G2.com.",You need to make sure not to select too many areas of interest or repetitive as you will receive a large number of emails each day that you will need to manage.Review collected by and hosted on G2.com.,"You can quickly submit your resume and update your cover letter to tailor for each client when you are sent jobs that might interest you.  It has allowed me to be more productive doing consulting.  Clients are finding my resume on Indeed and reaching out to me, which has helped me be very successful in my current career aspirations of building a consulting business.Review collected by and hosted on G2.com.",5
"Aug 21, 2022","Recently, it became easier to navigate on the page. I like how a resume is detected when submitted and suggestions implemented with one click.Review collected by and hosted on G2.com.",There is nothing I dislike at the moment.Review collected by and hosted on G2.com.,The problem Indeed Hiring Platform is helping to solve is it does the heavy lifting to find a good fit.Review collected by and hosted on G2.com.,4
"Oct 03, 2021","Indeed has a straightforward and easy-to-understand user interface. The platform yields okay matches for the posted jobs. I can post multiple jobs at once. Indeed Hiring Platform is more suitable for US-based employment, and it sources an excellent list of candidates from the local US.Review collected by and hosted on G2.com.",I have not been able to hire/source a good pool of candidates for our local hiring needs.Review collected by and hosted on G2.com.,Indeed helps me post and advertise jobs to find potential candidates that fit the profile. The platform is more suitable when hiring US candidates. It seems ridiculous to have an account on this platform when it doesn't fulfill all the hiring needs.Review collected by and hosted on G2.com.,3
"Nov 24, 2021",I like that you can make your ad as short or as long as you want. There's really no wrong or right way to make your job ad. The interfaces are easy to manipulate for anyone.Review collected by and hosted on G2.com.,"I didn't like that there was no tutorial to go through their steps on creating an efficient job ad. If there was, it wasn't easy for me to find a step by step guide.Review collected by and hosted on G2.com.",I'm solving the problem of open positions the company had available. It was very easy to list and de-list any job openings.Review collected by and hosted on G2.com.,4.5
"Jan 28, 2022",It has so many filters to get the best results for someone according to thier need. And it has a vast range of jobs and opportunities.Review collected by and hosted on G2.com.,"It keeps sending u mails, I guess lifetime.Review collected by and hosted on G2.com.",Indeed is a hub for jobs no matter in which field u r searching Or for which location.Review collected by and hosted on G2.com.,4
"Nov 12, 2021",The upsides of using Indeed Hiring is the ability to communicate with multiple candidates and sort through our best available optionReview collected by and hosted on G2.com.,"I wouldn't say I like how after a certain amount of candidates, we have to pay a fee which seems a bit high. I would suggest a regular flat monthly fee for something like this.Review collected by and hosted on G2.com.","It is helping us solve the issue of workforce power. Using Indeed will allow us to have more of a workforce, increasing our productivity. Using Indeed in the past has improved our business performance.Review collected by and hosted on G2.com.",4.5
"Dec 08, 2021","I like the number of candidates, quality of candidates, and ability to search for certain backgrounds, education, job experience, etc. It is very easy to search for candidates with the backgrounds we are looking forReview collected by and hosted on G2.com.",I do not like how sometimes the backgrounds do not completely match what I am searching.Review collected by and hosted on G2.com.,Quality candidates and a lot of candidates coming through! We are helping get candidates easily and build a high-quality workforce. It has been awesome to be able to reach out to so many relevant candidates.Review collected by and hosted on G2.com.,5
