review_time,positive_review,negative_review,problems_solved,rating
"Nov 30, 2021","LinkedIn Job Search is one of the best Job Search platforms that we currently use, LinkedIn Job Search is currently the only platform with multiple features like, Automation, synchronize, JOB search as per your search history, job recommendation, also it gives you a perfect match as per your LinkedIn Profile, and if you have made your LinkedIn Profile then you can use it as your job resume/ CV and you can apply for as many jobs as you want by just using the LinkedIn Job Search feature of easy apply, with that you can apply for multiple job application at a time",,"LinkedIn Job Search is currently the only best Job Search platform that we are currently using, I have used many platforms like Naukri, Shine, Monster, Freshworld but the way LinkedIn Job Search is built there is no other platform, you can track your own job application, you can save your job search, you can get emails and updates from LinkedIn on your personal email id.Review collected by and hosted on G2.com.",5
"Feb 12, 2022","It's effortless to use both as a Job Seeker and a Job Poster. As a Seeker, you can set up daily (or frequency of your choice)  notifications based on the job you are looking for. You can do this easily by adding key words, job titles, job location, etc. Also, you can ""inapply"" which uses your LinkedIn profile information to form fill the application and you just hit click!Review collected by and hosted on G2.com.","The job ""subscriptions"" you create for yourself don't always pull the most relevant positions in the area. A manual search can be a better option, especially if the job you are looking for is very specific or specialized. Additionally, I have noticed that the same job/job postings and companies outweigh new opportunities - at least when you ate getting daily notifications as I do.Review collected by and hosted on G2.com.","Personally, I find the best feature is how easy the one-click ""InApply"" is. The prefill saves SO much time! And it's super nice that LinkedIn saves the jobs you apply for so you don't have to keep track manually. (if you don't want to)Review collected by and hosted on G2.com.",4.5
"Dec 17, 2021","I can say that LinkedIn job search is the best way to search for any opportunity where you can filter as per your requirement as you can apply as "" Easy apply"". Moreover, you can also connect to the recruiters to interact.Review collected by and hosted on G2.com.","Although the LinkedIn job search is the best way to find an opportunity without wasting your time sometimes candidates do not get the same opportunity as they are searching for. And LinkedIn job search is best for those who already have some experience. For Fresher candidates, it may not give a great result.Review collected by and hosted on G2.com.",The best thing that I used to do is that I can get the information about the company and the job role on the same page without additional searching the company's information. And another benefit is that we can interact very easily with the team.Review collected by and hosted on G2.com.,5
"May 11, 2022",Linkedln job seach provide you the multiple filter facilities which help you to get the job opportunities according to you conditions and also it provide boost to your profile for getting more and more job offers.Review collected by and hosted on G2.com.,"There is nothing to dislike about linkedln job search, rather than that I found more help things to enhance my profile for getting more job opportunities like skillset test and resume building features.Review collected by and hosted on G2.com.",It helping to get market current requirements and demands of the technology and also providing me best job opportunities as well as the filter feature which helping to sorting job offers according to my conditions.Review collected by and hosted on G2.com.,5
"Nov 19, 2021","This software allows the candidate or the job seeker to search for jobs and apply accordingly very easily. It is more engaging and allows the candidates to collaborate with the job poster to learn more. The filtering option is unique and effective for the job poster and the job seekers. Most importantly, it is effortless to use, and the availability on every platform has made it very easy and accessible.Review collected by and hosted on G2.com.","I am delighted to use this application, and I do not see anything to dislike about this application.Review collected by and hosted on G2.com.","I usually post jobs for my organization, and this platform has been the best option in our country to engage with the most competent candidates. Candidate profile sorting is very easy and effective in this application/software. Headhunting is another great feature of this application.Review collected by and hosted on G2.com.",5
"Nov 15, 2021",I like the idea itself to help you find a job and help recruiters to find the best candidate for the job,I use Linkedin the application to find a job,It helps me find jobs online but sometimes it's not the best job for my state of residence or for my qualifications but I think it's not the same in other countriesReview collected by and hosted on G2.com.,4
"Jan 27, 2022",recruiters approaching you to give you jobs if our skills matches their job requirements. you can see which company has open vacancy for any position instantly.Review collected by and hosted on G2.com.,if you tag someone on any job post then you'll get a notification for every comment another person has done on that post. i feel like pretty annoying to check the notification and when you see it is not for you.Review collected by and hosted on G2.com.,applying to the jobs which companies are posting immediately with easy apply option given by linkdln. and you can be highlighted in the eyes of recruiters for the job.Review collected by and hosted on G2.com.,5
"Dec 20, 2021",The kind of job which are providing by this platform is best in class.,"There are many type of job by category,by sallery,by post etc on this platform so we have many more options to pick any of of one and do our best for our dream job.Review collected by and hosted on G2.com.",My company tried this platform for their vacancy and they posted the requirements in monthly basis.Review collected by and hosted on G2.com.,4.5
"Dec 10, 2021","•	I seem like a Facebook. As I like Professional facebook. You can share all information about your company. You can connect with colleagues all over the World. If you have a linkedın premıum, you can send a direct message and can see profiles whatever you want. And connect companies' HR teams and find a job or intern. Almost all companies share opportunities.Review collected by and hosted on G2.com.","•	Premium linkedin is free for 30 days. More than 30 days, pay Money. Maybe Premium can be free for students. Sometimes can be used as social media.Review collected by and hosted on G2.com.","To be honest, I found my current job thanks to LinkedIn :)  And  I connected with the company where I did my internship while I was at university, thanks to LinkedIn.Review collected by and hosted on G2.com.",5
"Nov 01, 2021","I find that companies that use LinkedIn job search are more engaged, which is especially important for my line of work.","There are easy ways to filter based on location, type of role, etc, and you can save preferences which is great. I also love the fact that it's connected to your LinkedIn, without having another login elsewhere.","Finding jobs and candidates that are engaged and relevant. Profiles can offer much more depth than another job search. I always check someone's LinkedIn anyway, so it's a great way to skip that step.Review collected by and hosted on G2.com.",5
"Jan 15, 2022","1. A one-stop solution for finding jobs for all professions, levels, and categories",2. The best part is you will be the first one's to know about job openings if you can network with the right people,"5. You may find the details of the recruiters posting the job. wherein reaching out to them can be helpful at times to know more about the job, company and expedite the application processReview collected by and hosted on G2.com.",3.5
