review_time,positive_review,negative_review,problems_solved,rating
"Mar 14, 2022","The best thing is that we can search the candidates here within a specific region only based upon the job description. Also, the platform is very user-friendly and easy to use. It also provides the service of keeping your posting jobs at the top using the ads. The database for technical profiles is mind-blowing.Review collected by and hosted on G2.com.","There is some kind of bug or issue that is shown whenever we search for any candidate for any specific job profile. It shows the same resume with the same mail address and different candidate profiles. The technical team must take this into consent and solve this issue. Apart from that, I hadn't faced any issues to date.Review collected by and hosted on G2.com.","It is one of the beats platforms for all the technical recruiters. it is their first choice if we are hiring for the technical profiles in the IT field. It gives the most outstanding profile for IT jobs. The database is fantastic. The UI needs some improvement but it works well. Overall, the experience is quite good and impressive.Review collected by and hosted on G2.com.",4
"Mar 01, 2022",Quality of the resumes and the search engine. It is one of the few portals that provide us the filter of filtering the candidates on basis of different types of clearances. All the way from the secret to TS/SCI FS poly.Review collected by and hosted on G2.com.,Not giving timely API integrations to different ATS. We find it quite difficult to get new api's integrated with our current ATS Ceipal. We raised this concern time and time again.Review collected by and hosted on G2.com.,Finding candidates in cleared as well as non cleared space. This does benefit a lot in that space and gives good and effective results. The boolean strings give very accurate results.Review collected by and hosted on G2.com.,4.5
"Nov 09, 2022",It is beneficial for those proper searching jobReview collected by and hosted on G2.com.,"There  is no point in disliking, and i am happy with the serviceReview collected by and hosted on G2.com.",An international platform to find a professional jobReview collected by and hosted on G2.com.,5
"Mar 02, 2022","It is effortless to use and friendly software. The UI and UX are mind-blowing. The best thing here is that it removes out the candidates automatically who do not fit with the required position. Also, the boolean search algorithm is s effective because it gives very relevant results. It allows us to view the profiles of the candidates, which provide more information than the resume, and we can track the activities of the candidates from our dashboard. Overall, it is very productive and flexible. The dashboard is beautiful and keeps connected with its fantastic features.Review collected by and hosted on G2.com.","There must be some feature to adjust or customize the job postings and activities. Apart from that, I need some scheduling features for job postings for future dates and times. So that we can arrange them in a single day and focus on other works instead of posting jobs daily over the portal.Review collected by and hosted on G2.com.","As a recruiter, it is my primary job to connect with candidates and hire them for various profiles that I come across every day. Monster has helped me source and onboard the right candidate for the right shape. Here we can use the talent to meet up the right opportunity. It is very beneficial fr the technical profiels. I am happy about the experience I have had in the last some years with Monster.Review collected by and hosted on G2.com.",4.5
"Aug 19, 2022","Job search, filters, relevancy, job titlesReview collected by and hosted on G2.com.",Lots and lots of fake profiles remove themReview collected by and hosted on G2.com.,Bringing easy to use UI and integration of new features.Review collected by and hosted on G2.com.,5
"Feb 15, 2022",Using monster reduce our working time and energy.,We will get lof of job applications for a single job post. It made my work easy and it's very less cost.,We can filter while sourcing in the search engine.. So them we can get best suitable candidatesReview collected by and hosted on G2.com.,4
"Feb 06, 2022","Here we can track the status of the candidates in real-time. It has a user-friendly interface. It provides many filters to source the profiles as per the job requirement. We can fill a detailed description like skills, work experience, education, location, etc. It accepts the abstracts in the boolean strings and keys. It has many good options like Power search, which finds resumes with extensive filters and strings.Review collected by and hosted on G2.com.","Whenever we log in from more than one system, it creates issues and problems during sourcing the candidates. It does not give the exact results according to the search. Also, the resume views are limited, and it asks for credits for more resume views. Also, there must be some feature to fetch the data directly from the candidates they provided over the portal and fill it up in their resumes.Review collected by and hosted on G2.com.","It is a potent tool when we look to hire for technical roles. Monster is our primary portal to post jobs, source candidates, and search resumes. It gives us a good talent pool for closing most of our technical job openings. The database is mind-blowing and is updated every next day with good results. It has given us an extreme experience of working over it. Overall, it is a fantastic tool for recruiters and job seekers.Review collected by and hosted on G2.com.",4.5
"Nov 18, 2022",I like the recommendations for jobs in specific job  categoriesReview collected by and hosted on G2.com.,I hate scammer company that take advantage to newbieReview collected by and hosted on G2.com.,I think the problem is not being safe at sometimes to this platform yet It's very much useful in search jobs. I never being hired using this platformReview collected by and hosted on G2.com.,2.5
"Jan 11, 2022",Monster has been proven really successful in filling the low-end or junior hiring positions. It has a good number of freshers and recent grads. Monster has many filters which help the platform to outstand in the market. It gives the liberty to the employer to apply as a strict search string as he wants and gets the best candidates according to the position needs.Review collected by and hosted on G2.com.,"The relevance level of the resume is not up to the mark. Sometimes, it picks up some keywords and searches the profiles according to that. Moreover, it rates the resume showing according to relevance to the search string added, which hardly makes any sense. I have seen various instances saying it is 83% match, whereas the profile was not even of the same background I was looking for. It also has the option of power search which picks the keywords and gets the best results.Review collected by and hosted on G2.com.","Job posting and auto-forwarding are some of the main game changers of Monster. I and my team has been using it extensively for bulk-hiring roles. Monster Postings save a lot of time and help in getting the best suitable candidates from the market. It also has the features of setting the level of experience which helps a lot in targeting the right audience. The dashboard needs to be made much simpler as other competitive platforms are providing. The power search option is there, but it has to be open differently which is time-consuming.Review collected by and hosted on G2.com.",3.5
"Mar 04, 2022","It has a user-friendly interface and is easy to use. It provides various filters to source the right resumes. We can source candidates based on skills, qualifications, and location. The job posting is very efficient and has various filter questions to make sure only relevant candidates apply to the job posting.Review collected by and hosted on G2.com.",There are a lot of resumes with the same email address. It has a wide database for technical or software candidates than non-technical candidates. It is an expensive but effective tool.Review collected by and hosted on G2.com.,It has a very logical layout of the website. It allows me to view candidate profiles so I can manage the views of ROI. It is quite fast and provides flexible services for various needs.Review collected by and hosted on G2.com.,4.5
