review_time,positive_review,negative_review,problems_solved,rating
"Jan 08, 2018","We used ZipRecruiter for mulitple positions we were recruiting for in a 1 month time frame.  It worked great, but was a bit too expensive for our Recruiting budget.Review collected by and hosted on G2.com.",The number of candidates and ease of tracking the candidates.Review collected by and hosted on G2.com.,"It is expensive.  Less expensive than the big job boards, but too high for small businesses. I wish they had some smaller packages.Review collected by and hosted on G2.com.",4
"Jan 22, 2018",Hiring for over 50 positions in the Philadelphia areaReview collected by and hosted on G2.com.,"That candidates can apply easily, with just one clickReview collected by and hosted on G2.com.",Wish there was more screening questions and more qualified applciantsReview collected by and hosted on G2.com.,4
"Dec 21, 2017","We use zip recruiter to post all of our job openings. As an agency, we have multiple openings at one time, and we need to get them posted fast!Review collected by and hosted on G2.com.","Having everything all in one place, its quick and easy to navigate, we can save templates and drafts, and we can have multiple users.Review collected by and hosted on G2.com.",We currently have to pull resumes manually into our ATS.Review collected by and hosted on G2.com.,5
"Dec 14, 2017",ZipRecruiter is very easy to use. It is easy to post jobs and also to retrieve candidates to put into our system. We get a lot of job applicants from ZipRecruiter. It is also easy to search for candidates.Review collected by and hosted on G2.com.,I like that it is easy to use. It is easy to post jobs and also retrieve candidates.Review collected by and hosted on G2.com.,There isn't anything that I dislike. It is easy to use.Review collected by and hosted on G2.com.,4.5
"Jun 15, 2017",The Product is very helpful in a way that no other Job board has been able to assist me in my Job Search.Review collected by and hosted on G2.com.,"I get Job alerts just about everyday, and I get Jobs that actually match my skill set and not Jobs that I don't have any interest in or that I am just not qualified for.  And last of all, my Suggested Jobs that Zip Recruiter saved automatically, are perfect, and all of in my field of interest, which is Customer Service.Review collected by and hosted on G2.com.","I don't have anything bad to say, except, I wish I would have known about ZipRecruiter years ago.Review collected by and hosted on G2.com.",4.5
"Jun 15, 2017",I used the free trial to see if this was a good source for recruiting and posting our open Positions.Review collected by and hosted on G2.com.,Received several candidates through this sourceReview collected by and hosted on G2.com.,"I used the free demo, and I continue to receive marketing materials to try ZipRecruiter for free, but when I go in to sign up, it won't allow me another trial period because my email address has already been used.  I completely understand not to allow multiple trials, but why send me additional promotional materials with the free trial information included.Review collected by and hosted on G2.com.",2
"Jun 14, 2017","I engage job boards daily to fill a wide variety of positions within my company - warehouse, IT, sales, operations, graphic design, and manufacturing roles.Review collected by and hosted on G2.com.",Stylized resumes allow me to find information quickly.  Prequalification questions for submission excellent.Review collected by and hosted on G2.com.,Talent acquisition is my particular and unique function for my companyReview collected by and hosted on G2.com.,4
"Dec 12, 2017",Ziprecruiter was a life changing CRM that helped our company staff and place candidates with our clients.Review collected by and hosted on G2.com.,How easy it is to post jobs and reach out to canidadates. Also the phone app is great!Review collected by and hosted on G2.com.,Nothing! I absolutely love ziprecruiter.Review collected by and hosted on G2.com.,5
"Oct 03, 2017",I used this website when I was in the job search for my first pharmaceutical job.Review collected by and hosted on G2.com.,I loved how easy it was to upload my resume and how many different jobs I found on ZipRecruiter versus other sites.Review collected by and hosted on G2.com.,ZipRecruiter works with companies that you won't find on other sites and they protect your information well.Review collected by and hosted on G2.com.,5
"Nov 30, 2017",Helps assist me with finding candidates for jobs that i am recruiting for.Review collected by and hosted on G2.com.,The ability to go through many different resume in a short time.Review collected by and hosted on G2.com.,At times i will get candidates that are not qualified for the position.Review collected by and hosted on G2.com.,4.5
